,0
726,Shaboozey
727, MC JF
728, Molella
729,FISHER
730,Bruce Springsteen
731, Pop Smoke
732, Dr. Dre
733,The Rasmus
734, Daft Punk
735,Aqua
736, Nate Ruess
737,Chino Pacas
738,Jósean Log
739,Slipknot
740, Ludacris
741,Big Thief
742, Prototype
743,Juice WRLD
744,Galantis
745, Pebbles The Invisible Girl
746,Dua Lipa
747, Papa V
748,Central Cee
749, Gazo
750, YoungBoy Never Broke Again
751,Tame Impala
752,Lost Frequencies
753, Chris Brown
754, Ina Wroldsen
755,Sukha
756, Oskoow
757,Andra Day
758, Bryant Myers
759,YNW Melly
760,Davido
761,A$AP Rocky
762, Queen Pen
763,ROSÉ
764,XXXTENTACION
765,Good Charlotte
766,Chance Peña
767,Jonas Blue
768,Öwnboss
769, Tiësto
770,Aventura
771,Calum Scott
772, Dwele
773,Bob Marley & The Wailers
774,Oxlade
775, Juice WRLD
776,The Clash
777,Blue Öyster Cult
778,Duncan Laurence
779, Akon
780, Dallass
781, Darell
782, Mora
783,AC/DC
784, Julien Baker
785,The Weeknd
786,Quevedo
787,Creedence Clearwater Revival
788, A Touch Of Class
789,YUNGBLUD
790, Moneybagg Yo
791,Hombres G
792, Offset
793,Nathan Dawe
794, Zion
795,Electric Light Orchestra
796,The Wanted
797, Kodak Black
798, Brent Faiyaz
799, Adam Levine
800,Diplo
801,fun.
802, Krono
803, MC Tuto
804,Paul Russell
805,Ayo Maff
806,Vanilla Ice
807, Macklemore & Ryan Lewis
808,Big Pun
809,Daniel Caesar
810, Benjamin Ingrosso
811,TWOPILOTS
812, Polo G
813, Lyanno
814, Mambo Kingz
815, JP Cooper
816,Alicia Keys
817,HYBS
818, Michael Marshall
819,Alice In Chains
820, Romeo Santos
821, Seu Jorge
822, Beéle
823,Fantasia
824, Teto
825,Wakyin
826, Tainy
827,Bizarrap
828,ECLIPSE
829, Rosalie
830, Uriel Gaxiola
831,Mc Delux
832,Tate McRae
833, Bad Gyal
834,AUR
835,The Notorious B.I.G.
836,ABBA
837,Shawn Mendes
838,Iron Maiden
839,Stephen Sanchez
840,Kapo
841, FELIX!
842,Arctic Monkeys
843,CYRIL
844, AFROJACK
845,Tito Double P
846, Rodricci
847,Gazo
848,PARTYNEXTDOOR
849, Orso
850,The Alchemist
851, Alessia Cara
852,Earth
853, Jeezy
854,TOOL
855,Jasleen Royal
856, Morad
857,Cazzu
858,Natanael Cano
859,Yannc
860, George Martin
861,Bakermat
862,Mark Ronson
863,JID
864,Blackstreet
865, GoonRock
866,The White Stripes
867,One Direction
868,Oscar Maydon
869,Wham!
870,Kendrick Lamar
871,Don Henley
872,Wu-Tang Clan
873,MAN WITH A MISSION
874, Young Thug
875,BABYMONSTER
876,Måneskin
877,Gracie Abrams
878, Kenny Dope
879, AMUSIK
880, Chimbala
881,Alan Walker
882,Lil Durk
883,LMFAO
884,AFI
885, Omar Varela
886,Heart
887, Foxes
888, Kita Alexander
889, J Balvin
890,Thin Lizzy
891,YOASOBI
892, Timbaland
893, Kyle Richh
894, City Spud
895,Fontaines D.C.
896, Karan Aujla
897,Beastie Boys
898,Djo
899, Tego Calderón
900,xxanteria
901, Oscar Maydon
902, Joe Fox
903,Clairo
904,Jin
905,Feid
906, Eladio Carrion
907, Ink
908,SZA
909,Jimin
910,Polo G
911,Royel Otis
912,Mustard
913,Katrina & The Waves
914,Joey Bada$$
915,America
916,Imanbek
917,Brenda Lee
918,Baltimora
919,Buffalo Springfield
920,LISA
921,Prabh Singh
922,KHEA
923,Yeah Yeah Yeahs
924,Zaz
925,The Red Jumpsuit Apparatus
926, Snøw
927, Busta Rhymes
928, DaBaby
929,Rihanna
930, J. Cole
931,Nirvana
932,Hyce
933,Tina Turner
934, VINAI
935, Hamsika Iyer
936, Dalex
937, Obongjayar
938, John Legend
939, Wyclef Jean
940,Pat Benatar
941,Alok
942,Eric Prydz
943, Tom Odell
944,Enya
945, Alesso
946, Anuel
947, Dj Nk Da Serra
948, Rudimental
949,Maisak
950,Tiësto
951, Ann Lee
952,Miguel
953, Santigold
954, Keinemusik
955,Poison
956,Madcon
957, Benja (NL)
958,Midnight Oil
959,Leith Ross
960, Nicky Jam
961, Ty Dolla $ign
962, Brytiago
963,GloRilla
964,Pastel Ghost
965,Rema
966,LAVINIA
967, NAV
968,Clams Casino
969, Phoebe Bridgers
970, Ava Max
971,Kylie Minogue
972,Rachel Platten
973,Baby Keem
974,mgk
975,CHANYEOL
976,Fred again..
977,DJ Snake
978,Roberta Flack
979,Justin Timberlake
980, Fireboy DML
981,David Guetta
982,The Rolling Stones
983, Mc Rf
984,Niklas Dee
985,Ocie Elliott
986,ZWE1HVNDXR
987,Danny Ocean
988, Stryv
989, Benjamin Diamond
990,PAWSA
991,Lil Peep
992,Carly Rae Jepsen
993,Regard
994, Playboi Carti
995,Miley Cyrus
996,Kungs
997, Rivo
998,The Smashing Pumpkins
999,Nemzzz
1000, Phil Jay
1001,Pearl Jam
1002, Yeat
1003, Tems
1004,Mr. President
1005,Desireless
1006,K-Ci & JoJo
1007, Rooh Sandhu
1008,Kehlani
1009,Bnxn
1010, Luis R Conriquez
1011,Mary J. Blige
1012,Victony
1013,Lil Loaded
1014,J. Cole
1015, Headie One
1016, Mc Gw
1017,21 Savage
1018,Brent Faiyaz
1019,The Cure
1020,Paramore
1021,24kGoldn
1022, Ellie Goulding
1023, MC Koringa
1024, NewJeans
1025, Mc Laranjinha
1026,Taio Cruz
1027,Pierce The Veil
1028,Gordo
1029, Bleachers
1030, Bryson Tiller
1031,Juanes
1032, H.E.R.
1033, Clementine Douglas
1034, Bebe Rexha
1035, Seeb
1036,Iyaz
1037,Playboi Carti
1038,Franz Ferdinand
1039, Daniel Hope
1040,leadwave
1041,Cher
1042,Britney Spears
1043,Jax Jones
